ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,LOG_CAPTURED_TIMESTAMP
100,0,252016.0,1, ,AA,0,0,20190624004127,20190624004126, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cb,SEBLG410@-SIEBEL012,4c3h5,18080,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,252017.0,1, ,AA,0,0,20190624004129,20190624004128, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cc,SEBLG410@-SIEBEL012,4c3h6,14452,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,252019.0,1, ,AA,0,0,20190624004131,20190624004130, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cd,SEBLG410@-SIEBEL012,4c3h7,17172,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,253219.0,1, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cef,SEBLG410@-SIEBEL012,4c3hq, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,253221.0,1, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cff,SEBLG410@-SIEBEL012,4c3hr, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,253222.0,1, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cgf,SEBLG410@-SIEBEL012,4c3hs, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,272133.0,1, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ch,SEBLG410@-SIEBEL012,4c3h8, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ci,SEBLG410@-SIEBEL012,4c3h9, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
0,0,254624.0,1, ,AA,0,0, , , ,Wait Condition,,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cj,SEBLG410@-SIEBEL012,4c3ha, ,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:47
100,0,233804.0,1, ,AA,0,0,20190623233551,20190623233550, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ck,SEBLG410@-SIEBEL012,4c3hb,14276,SEBLG410@-SIEBEL012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05/07/2019 15:07:48
