ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
9700,0,192230.0,102, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901c,SEBLG408@-SIEBEL014,4c3j0,3720,SEBLG408@-SIEBEL014
1400,0,192230.0,102, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901c,SEBLG408@-SIEBEL014,4c3iz,11172,SEBLG408@-SIEBEL014
4100,0,192230.0,230, ,AA,0,0,2.01906E+13,2.01906E+13,1300,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901u,SEBLG409@-SIEBEL018,4c3u4,12460,SEBLG409@-SIEBEL018
20000,0,192230.0,230, ,AA,0,0,2.01906E+13,2.01906E+13,1900,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901u,SEBLG409@-SIEBEL018,4c3u5,9560,SEBLG409@-SIEBEL018
11300,0,192230.0,230, ,AA,0,0,2.01906E+13,2.01906E+13,100,Ended OK,Run (2) ,190623,sebl5901_tfm_wf_pricelist.bat,SEBLJ5901u,SEBLG409@-SIEBEL018,4c3u6,2060,SEBLG409@-SIEBEL018
44100,0,60000.0,757, ,AA,1,0,2.01906E+13,2.01906E+13,600,Wait Condition,Run (5) ,190623,sebl5903_tfm_wf_adj_mail.bat,SEBLJ5903a,SEBLG407@-SIEBEL016,4c45v,11656,SEBLG407@-SIEBEL016
7000,0,60000.0,42, ,AA,1,0,2.01906E+13,2.01906E+13,600,Wait Condition,Run (5) ,190623,sebl5903_tfm_wf_adj_mail.bat,SEBLJ5903b,SEBLG410@-SIEBEL012,4c3gl,17024,SEBLG410@-SIEBEL012
2500,0,60000.0,24, ,AA,1,0,2.01906E+13,2.01906E+13,600,Wait Condition,Run (5) ,190623,sebl5903_tfm_wf_adj_mail.bat,SEBLJ5903c,SEBLG408@-SIEBEL014,4c3j2,9444,SEBLG408@-SIEBEL014
1300,0,60000.0,11, ,AA,1,0,2.01906E+13,2.01906E+13,600,Wait Condition,Run (5) ,190623,sebl5903_tfm_wf_adj_mail.bat,SEBLJ5903u,SEBLG409@-SIEBEL018,4c3u7,9668,SEBLG409@-SIEBEL018
60400,0,90000.0,952, ,AA,0,0,2.01906E+13,2.01906E+13,900,Ended OK,Run (2) ,190623,sebl5905_tfm_wf_interflg.bat,SEBLJ5905a,SEBLG407@-SIEBEL016,4c45w,2416,SEBLG407@-SIEBEL016
19600,0,220000.0,302, ,AA,0,0,2.01906E+13,2.01906E+13,2200,Ended OK,Run (2) ,190623,sebl5905_tfm_wf_interflg.bat,SEBLJ5905b,SEBLG410@-SIEBEL012,4c3gm,17840,SEBLG410@-SIEBEL012
54100,0,153000.0,1422, ,AA,0,0,2.01906E+13,2.01906E+13,1530,Ended OK,Run (2) ,190623,sebl5905_tfm_wf_interflg.bat,SEBLJ5905e,SEBLG408@-SIEBEL014,4c3j3,10064,SEBLG408@-SIEBEL014
6700,0,140000.0,136, ,AA,0,0,2.01906E+13,2.01906E+13,1400,Ended OK,Run (2) ,190623,sebl5905_tfm_wf_interflg.bat,SEBLJ5905u,SEBLG409@-SIEBEL018,4c3u8,4500,SEBLG409@-SIEBEL018
400,0,240000.0,4, ,AA,0,0,2.01906E+13,2.01906E+13,0,Ended OK,Run (2) ,190623,sebl5906_tfm_wf_fundgrp.bat,SEBLJ5906a,SEBLG407@-SIEBEL016,4c45x,11612,SEBLG407@-SIEBEL016
600,0,240000.0,5, ,AA,0,0,2.01906E+13,2.01906E+13,0,Ended OK,Run (2) ,190623,sebl5906_tfm_wf_fundgrp.bat,SEBLJ5906b,SEBLG410@-SIEBEL012,4c3gn,16532,SEBLG410@-SIEBEL012
500,0,240000.0,8, ,AA,0,0,2.01906E+13,2.01906E+13,0,Ended OK,Run (2) ,190623,sebl5906_tfm_wf_fundgrp.bat,SEBLJ5906c,SEBLG408@-SIEBEL014,4c3j4,9952,SEBLG408@-SIEBEL014
500,0,240000.0,5, ,AA,0,0,2.01906E+13,2.01906E+13,0,Ended OK,Run (2) ,190623,sebl5906_tfm_wf_fundgrp.bat,SEBLJ5906u,SEBLG409@-SIEBEL018,4c3u9,7404,SEBLG409@-SIEBEL018
