CTRLM_TABLE_NAME,JOB_NAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROM_TIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,FAIL_FLAG,TEAM_NAME,SNOW_WORK_GROUP,MIR3_WORK_GROUP,REGION,APPLICATION,JOB_TYPE
SEBLG410@-SIEBEL112,SEBLJ5318f,sebl5318_tfm_chld_upd.bat,Optima Shipment Child Accrual Update NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5320d,sebl5320_tfm_ci_index_upd.bat,Optima Shipment CI Index NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5322d,sebl5322_tfm_mpa_upd.bat,Optima Shipment MPA NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5322e,sebl5322_tfm_mpa_upd.bat,Optima Shipment MPA NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5322f,sebl5322_tfm_mpa_upd.bat,Optima Shipment MPA NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5324e,sebl5324_tfm_fnd_frcst.bat,Optima Shipment Fund Forecast NT Job,Y,46,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5324g,sebl5324_tfm_fnd_frcst.bat,Optima Shipment Fund Forecast NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5324h,sebl5324_tfm_fnd_frcst.bat,Optima Shipment Fund Forecast NT Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5326d,sebl5326_tfm_alt_bdf.bat,Optima Shipment AltBdfLoad Unix Job,Y,40,N,,,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG410@-SIEBEL112,SEBLJ5328b,sebl5328_tfm_fund_transfer.bat,Optima Fund Transfer NT Job,Y,40,N,,0120,N,Y,Optima LA,HPE_CDS_TFM_Optima_TX_L2,LATX,LA,Tx,NT
SEBLG407@ADLN5755,SEBLJ2024a,sebl2024_anapln_accprd_sync.sh,Anaplan Account-Product Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ3505a,sebl3505_anaplan_pay_ext.sh,Anaplan Promotion Payment Extract Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ3507a,sebl3507_anaplan_sid_ext.sh,Anaplan Promotion Sid Extract Unix Job,Y,40,Y,,1000,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5006a,sebl5006_anapln_mass_upld.sh,Anaplan Mass Product Plan and Vol Upload Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5007a,sebl5007_anapln_sku_upld.sh,Anaplan New SKU Plan  Upload Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5008a,sebl5008_ana_ship_volume.sh,Anaplan Shipment Vol extract Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5009a,sebl5009_ana_promo_error.sh,Anaplan Promo Error Unix Job,Y,40,Y,,1010,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ2026ax,sebl2026_anaplan_fund_sync.sh,Anaplan Funds Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
SEBLG407@ADLN5755,SEBLJ5000ax,sebl5000_ana_rvc_sum_cu.sh,Anaplan Promotion RVC Extract Unix Job,Y,40,N,,,N,Y,Optima ASIA ,HPE_CDS_TFM_Optima_TX_L2,APTX,AP,Tx,Linux
